,Frame,time_sec,angle_1_deg,angle_2_deg,angle_3_deg,angle_4_deg,angle_5_deg,angle_6_deg,angular_velocity_1_deg_per_s,angular_velocity_2_deg_per_s,angular_velocity_3_deg_per_s,angular_velocity_4_deg_per_s,angular_velocity_5_deg_per_s,angular_velocity_6_deg_per_s,vertex_speed_angle_1_p13_coord_per_s,vertex_speed_angle_2_p14_coord_per_s,vertex_speed_angle_3_p13_coord_per_s,vertex_speed_angle_4_p14_coord_per_s,vertex_speed_angle_5_p23_coord_per_s,vertex_speed_angle_6_p24_coord_per_s,rom_1s_angle_1_deg,rom_1s_angle_2_deg,rom_1s_angle_3_deg,rom_1s_angle_4_deg,rom_1s_angle_5_deg,rom_1s_angle_6_deg,symmetry_absdiff_angle_1_vs_2_deg,symmetry_absdiff_angle_3_vs_4_deg,symmetry_absdiff_angle_5_vs_6_deg,LDF_bloodflow
171,171,5.7,132.577952,140.096477,39.409006,133.517867,124.709394,98.626305,-28.672481,338.400475,50.358153,-7.145085,-6.983565,-95.749446,0.510882,0.690652,0.510882,0.690652,0.09,0.094868,25.433594,28.290079,4.940747,12.252065,21.100403,18.810482,7.518525,94.108861,26.083089,137.6
174,174,5.8,136.843162,138.382862,35.052245,134.481704,121.653509,103.909737,-103.625133,14.991651,-44.707848,78.733445,-185.412766,17.833853,1.231463,0.331361,1.231463,0.331361,0.03,0.0,25.433594,21.283565,6.605422,11.61539,23.560877,18.810482,1.5397,99.429458,17.743772,123.5
177,177,5.9,124.94741,128.075843,33.835442,133.702966,122.952855,102.86925,-234.716671,-70.180127,21.076618,80.866925,30.05686,-0.713445,0.241868,0.870517,0.241868,0.870517,0.15,0.18,26.64073,21.283565,8.524779,12.129901,26.946102,18.486256,3.128432,99.867525,20.083605,120.2
180,180,6.0,135.854778,127.848085,35.188589,131.78699,131.733972,106.98645,-16.117061,123.389495,2.936893,-42.687083,-26.229421,-39.91962,0.220454,0.198997,0.220454,0.198997,0.03,0.03,26.64073,17.508883,8.464308,12.129901,26.946102,18.486256,8.006693,96.598401,24.747522,115.0
183,183,6.1,143.451427,127.56026,32.677531,132.892094,127.44604,100.29775,170.87594,-293.870779,47.883417,-4.321303,227.985937,58.650868,1.400714,2.2508,1.400714,2.2508,0.09,0.094868,26.64073,17.508883,10.415238,12.129901,26.946102,18.769841,15.891167,100.214563,27.14829,96.2
186,186,6.2,140.691893,132.110155,33.696516,130.810406,133.215906,104.852613,-98.77772,147.602178,-4.844744,-34.301533,-23.569041,-2.876772,0.09,0.241868,0.09,0.241868,0.051962,0.03,26.64073,16.361374,8.54453,12.129901,26.946102,18.769841,8.581738,97.113889,28.363293,117.7
189,189,6.3,131.591924,144.845471,31.60005,135.052527,128.148295,97.415948,-206.066973,302.498481,-14.96867,22.081002,-63.751718,-273.17215,0.870517,0.75,0.870517,0.75,0.067082,0.06,26.64073,21.110369,8.54453,12.186214,20.157567,13.880809,13.253548,103.452477,30.732346,155.6
192,192,6.4,126.394113,132.906496,29.994679,133.165436,126.541427,111.316074,-42.277785,42.816194,-36.477513,-7.58565,51.486056,-16.235496,0.924662,0.189737,0.924662,0.189737,0.042426,0.0,24.233874,21.110369,10.28624,7.239524,18.400192,15.182221,6.512383,103.170757,15.225353,149.3
195,195,6.5,121.368241,128.506206,30.922218,134.004118,128.771822,119.911973,-244.390296,-110.704282,-23.259301,15.731697,-189.36118,210.84946,0.844808,0.780577,0.844808,0.780577,0.392301,0.361248,23.727213,21.110369,10.214623,4.242121,18.400192,23.236937,7.137965,103.0819,8.85985,141.6
198,198,6.6,127.753163,122.428571,27.412641,136.100899,116.233175,113.694753,-44.059843,25.900091,-14.745491,-13.774251,-197.26967,226.97971,0.228473,0.042426,0.228473,0.042426,0.03,0.03,23.727213,26.635385,11.996364,5.749635,20.016947,23.236937,5.324593,108.688257,2.538422,140.2
