Frame,angle_11_13_15_at_13,angle_12_14_16_at_14,angle_11_13_23_at_13,angle_12_14_24_at_14,angle_11_23_25_at_23,angle_12_24_26_at_24
211,128.519424,142.746514,27.929031,132.703442,117.887787,100.921946
212,133.000697,127.938354,27.060011,132.799652,126.467888,108.161305
213,128.053648,137.913904,26.282729,134.442762,124.434937,104.308918
214,130.46633,139.684157,28.834784,131.25046,106.22519,107.734831
215,130.460148,137.153853,27.489183,132.357216,108.923896,110.075405
216,130.026415,127.795066,22.421431,132.805168,112.644894,106.392919
217,131.35025,135.09176,21.272372,132.565511,114.653508,103.762769
218,132.782506,135.967677,26.912731,129.882796,111.505408,109.273796
219,132.673042,137.229309,25.138809,129.781028,107.478346,109.204711
220,131.263761,128.190769,22.392483,128.555108,93.28419,97.974588
221,129.161741,130.804554,18.36657,131.147617,88.993893,88.920764
222,125.981611,121.485718,21.973602,133.520384,102.035702,106.128274
223,128.650121,117.772865,19.060471,131.972693,102.579136,103.656058
224,124.562515,128.326384,21.212852,134.059494,117.626308,106.959512
225,120.502945,127.841081,19.463968,134.143793,106.977248,94.36832
226,125.666894,130.867646,23.151628,133.814363,120.739169,102.632931
227,125.895736,126.203505,21.161505,133.945836,103.214157,89.882756
228,123.22761,126.584912,22.238911,132.967556,106.486042,92.603713
229,126.846822,128.880554,21.046027,133.245955,109.590856,90.501662
230,129.192676,122.943187,21.865623,133.102798,114.429121,94.124527
231,135.377423,127.999104,17.964511,134.314208,105.649712,91.585762
232,130.085519,119.312433,20.229399,131.929242,109.923149,97.245788
233,133.595621,118.61832,20.113228,130.138294,108.453705,91.703701
234,125.691979,110.470641,19.042893,133.653922,106.8427,91.311728
235,129.296666,113.645979,17.833796,136.494037,95.26412,78.599275
236,128.955521,114.295745,18.167841,135.429407,96.583592,81.20149
237,130.964302,121.009472,15.476848,136.699735,102.852617,84.841185
238,125.429281,124.203812,17.873774,135.721143,103.393778,87.894496
239,117.84827,122.97528,17.610385,137.596726,103.242439,87.008745
240,118.502949,124.629868,18.253876,135.591604,103.853146,87.683507
241,121.108882,121.349262,16.916261,136.273679,101.970834,85.982723
242,118.387633,122.438969,16.589185,136.612974,97.744795,85.193169
243,123.17648,121.531454,17.958609,134.765217,105.192054,93.064284
244,133.306762,122.112473,20.95955,130.206388,101.915642,93.35477
245,140.544524,120.502752,22.3096,127.774184,97.956313,86.292422
246,137.636534,120.391563,19.231287,129.910319,101.845488,94.615604
247,135.385814,114.743256,18.637939,132.092786,103.851526,93.566401
248,135.968171,119.339814,17.302131,134.099852,105.414495,91.478811
249,124.092112,117.477328,16.734684,133.197737,101.632101,84.553933
250,122.316006,113.121425,17.575434,130.745845,100.231717,87.09059
251,115.12699,112.560252,18.990285,130.67607,98.339837,88.923456
252,123.564407,116.401378,18.407963,132.813551,98.507311,85.29942
253,127.51917,113.950325,13.891305,128.859341,86.051033,94.332314
254,103.707895,117.127931,13.582281,131.318341,89.473233,94.010873
255,122.602854,117.742205,12.213118,129.808319,95.163211,90.644432
256,118.749213,107.620985,15.410099,128.469146,94.921821,93.285573
257,124.991551,111.691905,12.672079,127.460807,93.275005,87.926656
258,126.66786,112.435245,12.42321,128.135936,95.306682,91.680327
259,117.804302,116.013754,13.63268,133.625365,103.947167,94.839557
260,117.056927,114.063211,13.2917,134.333239,102.087802,93.977403
261,115.345918,109.411,13.693658,129.929302,93.384586,94.120247
262,112.680656,111.53847,12.033516,129.243408,91.980654,89.168478
263,111.679993,114.209862,12.731305,130.832769,92.059197,92.889466
264,111.786804,114.633057,14.150796,129.326038,92.938607,91.088425
265,105.664472,111.990613,11.537903,131.195128,92.542776,89.364497
266,109.627349,123.951275,10.83575,128.264635,91.272813,86.278753
267,120.730801,121.981678,13.802775,127.818539,94.027949,90.507422
268,120.034239,120.934946,14.054931,124.028975,94.242452,95.691531
269,116.10518,121.647392,11.117481,124.131225,95.902897,94.957391
270,120.223176,124.947812,11.66543,126.328954,95.955057,94.843578
